surveyid,form_language,answer_time_90,answer_time_median,survey_name,form_test,survey_duration,userid,seed,survey_end_time,form_lang,creative,form_wave,shortcode,answer_time_min,version,survey_start_time,survey_created,answer_time_75,alphabet,articles,breastfed,child_0-6,child_age,child_name,children_registered,concern_12mo,concern_3yo,concern_5yo,confidence_deal_emotions,confidence_respond_misbehave,consent,count_to_ten,cry_separated,decrease_stress,download_confirm_control,download_confirm_treatment,education,express_feelings,followup_permission,games,healthy_food_groups,hello_again,how_long_use,how_often_use,improve_family,intro_1,intro_1b_control,intro_1b_treatment,intro_3,joke_with_child,know_cog_dev,know_lang_dev,know_name_age,know_phys_dev,know_social_emotional_dev,know_when_vaccine,know_which_vaccine,language,laugh_together,location,lose_patience_punish,make_fun_of,meaning_of_no,movement,multiplication,name_colors,number_children,other_features,parent_age,parent_gender,parenting_stress_1,parenting_stress_2,past_24h_draw,past_24h_outside,past_24h_play,past_24h_read,past_24h_sing,past_24h_stories,payment_processing,personal_needs,physical_punishment,play_on_floor,relationship_to_child,say_name_age,scribble,simple_songs,sit_support,smile_around_child,snap_at_child,sort_pair,tell_story,thankyou_1,thankyou_early,thankyou_optout,thankyou_you_qualify,threaten,track_checkups,track_dev,track_growth,track_vax,using_bebbo,seed_2
d2f7f6b0-be86-470e-ab60-70e340728e2e,serbian,46.682,16.599,UNICEF Bebbo Serbia,,1332.084,10068170173208539,2934606522,2023-05-12 11:31:49.315000+00:00,,Ad2_Serbia,0.0,bebborsbaseserb,7.702,3,2023-05-12 11:09:37.231000+00:00,2023-04-10 17:01:03.082+00:00,26.907,True,,,"Yes, more than 1",2 to 4 years,Stevan,,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child cannot count to ten,Confident,Confident,Yes,True,,No,,Yes,Secondary,,OK,,,,,,Yes,OK,,OK,OK,Strongly agree,True,True,True,True,True,,,Serbian,Strongly agree,Large regional centers,Agree,Agree,,,Wrong,True,2,,28,Woman,Most of the times,Most of the times,Yes,No,Yes,Yes,Yes,Yes,,Almost never,Do not agree,Strongly agree,Mother,,,True,,Strongly agree,Agree,,True,,,,OK,Disagree,,,,,,1
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,29.265200000000004,7.735,UNICEF Bebbo Serbia,,58150.273,10068170173208539,2934606522,2023-06-10 07:17:14.702000+00:00,serbian,Ad2_Serbia,1.0,bebborsendeng,5.737,5,2023-06-09 15:08:04.429000+00:00,2023-06-01 17:32:18.599+00:00,15.7315,,No,No,,6 to 12 months,Stevan,2,If the 12-months-old cannot sit up on her own,If the 3-year-old child does not play side by side with other children,,Confident,Very confident,,,True,No,,,,Wrong,OK,Yes,Three,,5-6 weeks,2-3 times a week,Yes,,,,,Disagree,False,False,,Not sure,False,False,True,,Strongly disagree,,Agree,Disagree,True,True,,,,Da,,,Most of the times,Most of the times,No,No,Yes,No,No,No,,Rarely,Do not agree,Agree,Mother,Wrong,True,,True,Strongly agree,Agree,True,,,,,OK,Disagree,Yes,Yes,No,Yes,Yes,1
d2f7f6b0-be86-470e-ab60-70e340728e2e,serbian,21.457,9.453,UNICEF Bebbo Serbia,,25327.088,10081344748557666,455640133,2023-05-05 16:01:08.194000+00:00,,Ad4_Serbia,0.0,bebborsbaseserb,5.726,3,2023-05-05 08:59:01.106000+00:00,2023-04-10 17:01:03.082+00:00,12.867,Wrong,,,"Yes, more than 1",4 to 6 years,Stasa,,,If the 3-year-old child cannot draw an accurate image of human body,If the 5-year-old child cannot count to ten,Very confident,Very confident,Yes,Wrong,,No,Yes,,Secondary,,OK,,,,,,Yes,OK,OK,,OK,Strongly agree,True,True,True,True,True,,,Serbian,Disagree,Smaller cities,Strongly disagree,Strongly disagree,,,Wrong,True,2,,37,Woman,Rarely,Most of the times,Yes,Yes,Yes,Yes,Yes,Yes,,Rarely,Do not agree at all,Strongly agree,Mother,,,True,,Strongly agree,Agree,,True,,,,OK,Strongly disagree,,,,,,2
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,21.5695,9.653,UNICEF Bebbo Serbia,,856.563,10081344748557666,455640133,2023-06-04 14:05:13.210000+00:00,serbian,Ad4_Serbia,1.0,bebborsendeng,6.513,5,2023-06-04 13:50:56.647000+00:00,2023-06-01 17:32:18.599+00:00,12.63125,Wrong,,,,4 to 6 years,Stasa,,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child cannot count to ten,Very confident,Very confident,,True,,No,,,,,OK,,,,,,No,,,,,Strongly agree,True,True,True,True,True,,,,Strongly agree,,Strongly disagree,Strongly disagree,,,Wrong,True,,,,,Most of the times,Almost always,Yes,Yes,Yes,No,Yes,Yes,,Almost always,Do not agree at all,Strongly agree,Mother,,,True,,Strongly agree,Strongly agree,,True,Zasto ne mogu da aktiviram svoju karticu?,,,OK,Strongly disagree,,,,,,2
d2f7f6b0-be86-470e-ab60-70e340728e2e,serbian,17.722,8.453,UNICEF Bebbo Serbia,,781.485,10095456703813653,4232634800,2023-05-01 07:57:23.239000+00:00,,Ad4_Serbia,0.0,bebborsbaseserb,5.482,3,2023-05-01 07:44:21.754000+00:00,2023-04-10 17:01:03.082+00:00,10.5095,True,,,"Yes, 1",4 to 6 years,TODOR,,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child sometimes makes up his/her own rules for games,Confident,Confident,Yes,True,,No,,Yes,Secondary,,OK,,,,,,No,OK,,OK,OK,Disagree,True,True,True,True,True,,,Serbian,Disagree,Smaller cities,Agree,Agree,,,Wrong,True,2,,33,Woman,Most of the times,Most of the times,Yes,No,Yes,No,No,Yes,,Rarely,Do not agree,Disagree,Mother,,,True,,Disagree,Disagree,,True,,,,OK,Agree,,,,,,1
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,33.207600000000006,13.232,UNICEF Bebbo Serbia,,1003.531,10095456703813653,4232634800,2023-06-03 08:43:33.800000+00:00,serbian,Ad4_Serbia,1.0,bebborsendeng,5.406,5,2023-06-03 08:26:50.269000+00:00,2023-06-01 17:32:18.599+00:00,21.4575,Wrong,Yes,,,4 to 6 years,Teodor,1,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child cannot count to ten,Very confident,Very confident,,True,,No,,,,,OK,Yes,,,5-6 weeks,Once a week,No,,,,,Disagree,True,True,Wrong,True,True,,,,Strongly disagree,,Strongly disagree,Strongly disagree,,,Wrong,True,,Ne,,,Almost always,Almost always,Yes,Yes,Yes,Yes,Yes,No,,Almost always,Do not agree,Disagree,Mother,,,True,,Strongly agree,Strongly disagree,,True,,,,OK,Strongly disagree,Yes,Yes,Yes,Yes,Yes,1
d2f7f6b0-be86-470e-ab60-70e340728e2e,serbian,20.222,8.923,UNICEF Bebbo Serbia,,1393.56,23930709316528175,2119335469,2023-05-16 18:44:51.012000+00:00,,Ad3_Serbia,0.0,bebborsbaseserb,5.989,3,2023-05-16 18:21:37.452000+00:00,2023-04-10 17:01:03.082+00:00,11.5895,True,,,"Yes, 1",2 to 4 years,Aleksa,,,If the 3-year-old child is becoming more independent,If the 5-year-old child cannot count to ten,Very confident,Very confident,Yes,Wrong,,No,Yes,,Secondary,,OK,,,,,,No,OK,OK,,OK,Strongly agree,True,True,Wrong,True,True,,,Serbian,Strongly disagree,Capital,Strongly disagree,Strongly disagree,,,Wrong,True,2,,23,Man,Most of the times,Most of the times,No,No,Yes,No,No,Yes,,Rarely,Do not agree,Strongly agree,Other,,,True,,Strongly agree,Agree,,True,,,,OK,Strongly disagree,,,,,,2
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,21.763200000000005,9.012,UNICEF Bebbo Serbia,,432.363,23930709316528175,2119335469,2023-06-15 15:25:35.713000+00:00,serbian,Ad3_Serbia,1.0,bebborsendeng,5.553,5,2023-06-15 15:18:23.350000+00:00,2023-06-01 17:32:18.599+00:00,11.104,True,,,,2 to 4 years,Aleksa,,,If the 3-year-old child is becoming more independent,If the 5-year-old child cannot count to ten,Confident,Not confident,,True,,Yes,,,,,OK,,,,,,Yes,,,,,Strongly agree,True,True,True,True,True,,,,Disagree,,Agree,Agree,,,Wrong,True,,,,,Most of the times,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,,Rarely,Do not agree,Strongly agree,Other,,,Wrong,,Strongly agree,Agree,,True,,,,OK,Disagree,,,,,,2
5e1d0a1e-e5d3-40bb-862e-263fd46b5187,serbian,33.4934,12.741,UNICEF Bebbo Serbia,,2425762.759,23986345950956342,1887756163,2023-06-27 21:05:35.386000+00:00,,Ad4_Serbia,0.0,bebborsbaseserb,4.524,4,2023-05-30 19:16:12.627000+00:00,2023-05-25 17:11:05.958+00:00,21.625,,,Yes,"Yes, 1",12 to 24 months,Gordana,,If the 12-months-old cannot sit up on her own,If the 3-year-old child does not play side by side with other children,,Very confident,Very confident,Yes,,Wrong,No,Yes,,University,Wrong,OK,,Five,Start,,,Yes,OK,OK,,OK,Strongly agree,True,True,,True,True,True,True,Serbian,Strongly agree,Large regional centers,Strongly disagree,Strongly disagree,Wrong,True,,,2,,33,Man,Rarely,Most of the times,Yes,Yes,Yes,Yes,Yes,Yes,,Almost never,Agree,Strongly agree,Father,True,Wrong,,Wrong,Strongly agree,Strongly disagree,Wrong,,,,,OK,Disagree,,,,,,2
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,13.6632,7.625,UNICEF Bebbo Serbia,,390.554,23986345950956342,1887756163,2023-06-27 21:12:17.261000+00:00,serbian,Ad4_Serbia,1.0,bebborsendeng,5.487,5,2023-06-27 21:05:46.707000+00:00,2023-06-01 17:32:18.599+00:00,9.1875,,,Yes,,12 to 24 months,Gordana,,If the 12-months-old cannot sit up on her own,If the 3-year-old child cannot recognize 10 letters of the alphabet,,Very confident,Very confident,,,True,No,,,,True,OK,,Five,,,,Yes,,,,,Strongly agree,True,True,,True,True,True,True,,Strongly agree,,Strongly disagree,Strongly disagree,Wrong,Wrong,,,,,,,Almost never,,Yes,Yes,Yes,Yes,Yes,Yes,,Almost always,Do not agree at all,Strongly agree,Father,True,Wrong,,Wrong,Strongly agree,Strongly disagree,True,,,,,OK,Strongly disagree,,,,,,2
5e1d0a1e-e5d3-40bb-862e-263fd46b5187,serbian,20.544599999999992,10.361,UNICEF Bebbo Serbia,,2420634.0,23997545546511134,251481284,2023-06-27 23:20:23.231000+00:00,,Ad4_Serbia,0.0,bebborsbaseserb,6.19,4,2023-05-30 22:56:29.231000+00:00,2023-05-25 17:11:05.958+00:00,13.492,,,No,"Yes, 1",0 to 6 months,Aleksandra,,If the 12-months-old show signs of being upset when separated from parents,If the 3-year-old child does not play side by side with other children,,Confident,Very confident,Yes,,True,No,,No,Secondary,Wrong,OK,,Two,Start,,,Yes,OK,,OK,OK,Disagree,True,True,,True,True,False,Not sure,Serbian,Disagree,Smaller cities,Agree,Strongly disagree,Wrong,True,,,1,,40,Woman,Rarely,Most of the times,Yes,No,No,No,No,No,,Most of the times,Agree,Strongly agree,Father,True,True,,Wrong,Strongly agree,Disagree,Wrong,,,,,OK,Strongly agree,,,,,,1
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,30.02240000000001,9.768,UNICEF Bebbo Serbia,,794.381,23997545546511134,251481284,2023-06-27 23:33:47.786000+00:00,serbian,Ad4_Serbia,1.0,bebborsendeng,6.344,5,2023-06-27 23:20:33.405000+00:00,2023-06-01 17:32:18.599+00:00,15.462,,,Yes,,6 to 12 months,Aleksandra,,If the 12-months-old cannot sit up on her own,If the 3-year-old child is becoming more independent,,Confident,Very confident,,,Wrong,No,,,,Wrong,OK,,Two,,,,Yes,,,,,Agree,True,True,,True,True,False,Not sure,,Disagree,,Disagree,Agree,Wrong,True,,,,,,,Rarely,Most of the times,No,Yes,Yes,No,No,No,,Most of the times,Agree,Disagree,Father,True,True,,Wrong,Disagree,Disagree,Wrong,,,,,OK,Agree,,,,,No,1
d2f7f6b0-be86-470e-ab60-70e340728e2e,serbian,19.9329,11.885,UNICEF Bebbo Serbia,,659.292,24132885996310246,917340199,2023-05-24 08:56:13.361000+00:00,,Ad3_Serbia,0.0,bebborsbaseserb,6.829,3,2023-05-24 08:45:14.069000+00:00,2023-04-10 17:01:03.082+00:00,14.16075,True,,,"Yes, 1",2 to 4 years,Viktor,,,If the 3-year-old child cannot recognize 10 letters of the alphabet,If the 5-year-old child cannot count to ten,Very confident,Very confident,Yes,True,,No,No,,Incomplete basic,,OK,,,,,,No,OK,OK,,OK,Strongly agree,True,True,True,True,True,,,Serbian,Strongly agree,Village,Strongly disagree,Agree,,,Wrong,True,2,,21,Woman,Almost never,,Yes,Yes,Yes,Yes,Yes,Yes,,Almost always,Do not agree,Strongly agree,Mother,,,True,,Strongly agree,Strongly disagree,,True,,,,OK,Disagree,,,,,,2
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,15.3124,11.136,UNICEF Bebbo Serbia,,572.794,24132885996310246,917340199,2023-06-24 20:26:30.381000+00:00,serbian,Ad3_Serbia,1.0,bebborsendeng,4.311,5,2023-06-24 20:16:57.587000+00:00,2023-06-01 17:32:18.599+00:00,13.309,True,,,,4 to 6 years,Dario,,,If the 3-year-old child cannot recognize 10 letters of the alphabet,If the 5-year-old child cannot recognize all alphabet letters and does not have reading skills,Very confident,Very confident,,True,,Yes,,,,,OK,,,,,,No,,,,,Disagree,True,True,True,True,True,,,,Disagree,,Strongly disagree,Strongly disagree,,,Wrong,True,,,,,Rarely,Almost always,Yes,Yes,Yes,Yes,Yes,Yes,,Almost always,Do not agree,Disagree,Father,,,True,,Disagree,Strongly disagree,,True,,,,OK,Strongly disagree,,,,,,2
eb53682b-8fd2-402f-ac70-a4b3b9056b38,,19.231,9.0595,UNICEF Bebbo Serbia,,96561.238,24191220603802190,3491094270,2023-06-16 16:54:33.199000+00:00,serbian,Ad4_Serbia,1.0,bebborsendeng,5.579,5,2023-06-15 14:05:11.961000+00:00,2023-06-01 17:32:18.599+00:00,11.533,,Not sure,No,,12 to 24 months,Danka,1,If the 12-months-old cannot sit up on her own,If the 3-year-old child cannot draw an accurate image of human body,,Not confident,Not confident,,,True,No,,,,Wrong,OK,Not sure,Five,,1-2 weeks,Once a week,Yes,,,,,Disagree,True,True,,True,True,True,True,,Agree,,Agree,Agree,Wrong,True,,,,Vakcinacija,,,Rarely,Most of the times,Yes,Yes,Yes,Yes,Yes,Yes,,Most of the times,Do not agree,Disagree,Mother,True,True,,Wrong,Disagree,Agree,Wrong,,Pošaljite karticu koja je ispravna,,,OK,Agree,Not sure,Not sure,Not sure,Not sure,Yes,1
