variable,question_type,question,answers,new translation required,description,age group,version,Domain,Subdomain,Keep or not,Notes,To translate
intro_1,multiple_choice,"Hello! We are a social science research company called Virtual Lab. We are conducting a study on the use of a mobile app on parenting, parents’ knowledge and awareness on child development, and parental practices on behalf of UNICEF. The study aims to positively contribute to the development of child well-being focused programs. The study involves completing a survey today, installing and using a mobile app on parenting, a second survey 4 weeks later, and a third survey 8 weeks later.",OK,,,both,both,,,yes,,
intro_1b_treatment,multiple_choice,"Each survey takes about 10-15 minutes to complete. After completing the survey you will be given a link to download a free parenting app Bebbo, which can help you support your child's development. Once you download the app, you will earn a gift card in the amount of 7 BGN.",OK,"Попълването на всяка анкета отнема около 10-15 минути. След като попълните анкетата, ще получите линк за изтегляне на безплатното приложение за родители Беббо, което може да ви помогне да подкрепите развитието на вашето дете. След като изтеглите приложението, ще спечелите карта за подарък на стойност 7 лв.",if treatment,,,,,,,
intro_1b_control,multiple_choice,"Each survey takes about 10-15 minutes to complete. After completing the survey you will be given a link to a free parenting website, which can help you support your child's development. After visiting the site, you will earn a gift card in the amount of 7 BGN.",OK,,if control,,,,,,,
intro_2,statement,"Your answers will be stored securely and kept confidential, they will only be seen by the research team. If at any time you wish to see your personal data or request that all your personal data be deleted, you can write an email to privacy@vlab.digital.",,,,,,,,yes,,
intro_3,multiple_choice,"You can delete this thread after you have finished the survey, to keep your answers private from anyone else using your phone.

There are no significant risks associated with participating in this study.",OK,,,both,both,,,yes,,
intro_4,statement,"Your participation is voluntary and you may withdraw at any time without consequences. If at any point during the survey you stop responding, we will send a single reminder message. If you wish to stop the survey, you can stop replying.

Some questions will have buttons that you can click on to respond. If there is no button provided, you should use your keyboard to type the answers. ",,,,both,both,,,yes,,
consent,multiple_choice,Do you agree to participate in the survey?,"Yes
No
",,"If no, then thankyou_optout",both,both,,,yes,,
thankyou_optout,thankyou_screen,"Ok, no problem. Thank you for your time!",,,,both,both,,,yes,,
parent_age,number,"Great, thanks!

How old are you?",,,18+ only,both,both,,,yes,,
number_children,number,How many children are there in your family?,,,1+ only,,,,,yes,,
child_0-6,multiple_choice,Are there any children in your family aged 0 to 6?,"-A. No
-B. Yes, 1
-C. Yes, more than 1",,Only show if previous is >0; exclude if A,,,,,yes,,
parent_gender,multiple_choice,What is your gender?,"-A. Man
-B. Woman
-C. Prefer not to answer",,,,,,,yes,,
location,multiple_choice,Where do you live?,"-A. Capital
-B. Large regional centers
-C. Smaller cities
-D. Village",,,both,both,,,yes,,
education,multiple_choice,What is your highest level of education?,"-A. Incomplete basic
-B. Basic
-C. Secondary
-D. University",,,both,both,,,yes,,
thankyou_early,thankyou_screen,"I'm sorry, but you are not eligible for this survey. We'll let you know if you qualify for any other surveys in the future. Thank you for your interest!",,,If <18 OR no child in the family OR no child in the family aged 0-6 y/o,both,both,,,yes,,
language,multiple_choice,What is the language most commonly used in your family?,"-A. Bulgarian
-B. Turkish
-C. Romani 
-D. Other",,,both,both,,,yes,,
statement_1,statement,"Because you have more than 1 child, please pick 1 child aged 0 to 6 as your focal child and answer all of the following questions for that child.",,,If more than 1 in child_0-6,both,both,,,yes,,
child_name,short_text,What is your child's (first) name?,,,,both,both,,,yes,,
child_age,multiple_choice,How old is {{field:child_name}}?,"-A. 0 to 6 months
-B. 6 to 12 months
-C. 12 to 24 months
-D. 2 to 4 years
-E. 4 to 6 years",,,both,both,,,yes,,
relationship_to_child,multiple_choice,What is your relationship to {{field:child_name}}?,"-A. Mother
-B. Father
-C. Grandparent
-D. Other",,,both,both,,,yes,,
statement_2,statement,"Now, we'd like to ask you a few questions about your knowledge of your child's health, nutrition, and development.",,,,both,both,,,,,
know_which_vaccine,multiple_choice,I know which vaccine {{field:child_name}} needs to take next.,"-A. True
-B. False
-C. Not sure",,,0 to 2,both,Knowledge and awareness,,yes,"66% report know, I think variation is good enough",
know_when_vaccine,multiple_choice,"I know when {{field:child_name}} needs to take her/his next vaccine.
","-A. True
-B. False
-C. Not sure",,,0 to 2,both,Knowledge and awareness,,yes,79% report know. Not great but in the absence of good health questions still decent,
know_social_emotional_dev,multiple_choice,"I would be able to recognize if {{field:child_name}}  lags behind in social-emotional development (expressing&recognizing feelings and emotions, engaging in interactions etc.).","-A. True
-B. False
-C. Not sure","Бих могъл/могла да разпозная дали {{field:child_name}}  изостава в социално-емоционалното си развитие (изразяване и разпознаване на чувства и емоции, участие във взаимодействия и др.)",,both,both,Knowledge and awareness,,yes,"I would be able to recognise if my child lags behind in social-emotional development (expressing&recognizing feelings and emotions, engaging in interactions etc.)","I would be able to recognise if my child lags behind in social-emotional development (expressing&recognizing feelings and emotions, engaging in interactions etc.)"
know_cog_dev,multiple_choice,"I would be able to recognize if {{field:child_name}} lags behind in cognitive development (mental development, intellectual development).","-A. True
-B. False
-C. Not sure","Бих могъл/могла да разпозная дали {{field:child_name}}  изостава в когнитивното си развитие (умствено развитие, интелектуално развитие).",,both,both,Knowledge and awareness,,yes,"I would be able to recognize if my child lags behind in cognitive development (mental development, intellectual development)","I would be able to recognize if my child lags behind in cognitive development (mental development, intellectual development)"
know_phys_dev,multiple_choice,I would be able to recognize if {{field:child_name}} lags behind in physical development.,"-A. True
-B. False
-C. Not sure",Бих могъл/могла да разпозная дали {{field:child_name}}  изостава във физическото си развитие.,,both,both,Knowledge and awareness,,yes,I would be able to recognize if my child lags behind in physical development,I would be able to recognize if my child lags behind in physical development
know_lang_dev,multiple_choice,I would be able to recognize if {{field:child_name}} lags behind in language development.,"-A. True
-B. False
-C. Not sure",Бих могъл/могла да разпозная дали {{field:child_name}}  изостава в говорното си развитие.,,both,both,Knowledge and awareness,,yes,I would be able to recognize if my child lags behind in language development,I would be able to recognize if my child lags behind in language development
confidence_deal_emotions,multiple_choice,How confident do you feel in your ability to deal with {{field:child_name}}’s emotions?,"-A. Very confident
-B. Confident
-C. Not confident
-D. Not confident at all",,,both,both,Knowledge and awareness,,yes,,
confidence_respond_misbehave,multiple_choice,How confident do you feel in your ability to respond properly when {{field:child_name}} misbehaves?,"-A. Very confident
-B. Confident
-C. Not confident
-D. Not confident at all",,,both,both,Knowledge and awareness,,yes,,
physical_punishment,multiple_choice,"Do you agree that in order to bring up, raise, or educate a child properly, the child needs to be physically punished?","-A. Strongly agree
-B. Agree
-C. Do not agree
-D. Do not agree at all",,,both,both,Attitudes,,yes,Why do we have only 29 responses to this?,
parenting_stress_1,multiple_choice,How often do you feel the stress of parenting? ,"-A. Almost always
-B. Most of the times
-C. Rarely
-D. Almost never",,,both,both,,Caregiver well-being,yes,,
parenting_stress_2,multiple_choice,How often can you handle stressful parenting situations successfully?,"-A. Almost always
-B. Most of the times
-C. Rarely
-D. Almost never",,"Only show if answered A, B, or C above",both,both,,Caregiver well-being,yes,no filter,
personal_needs,multiple_choice,"How often do you manage to attend to your own personal needs?
","-A. Almost always
-B. Most of the times
-C. Rarely
-D. Almost never",,,both,both,,Caregiver well-being,yes,,
concern_12mo,multiple_choice,Which of these is a sign of concern for the development of a 12-months-old child?,"-A. If the 12-months-old cannot sit up on her own
-B. If the 12-months-old cannot always understand instructions or orders
-C. If the 12-months-old show signs of being upset when separated from parents
-D. If the 12-months-old cannot pick up very small objects
-E. If the 12-months-old shows shyness or nervousness when communicating with strangers","""A. Ако 12-месечното дете не може да седи самостоятелно
Б. Ако 12-месечното дете не може винаги да разбира инструкции
В. Ако 12-месечното дете показва признаци на разстройство, когато е отделено от родителите
Г. Ако 12-месечното дете не може да хваща много малки предмети
Д. Ако 12-месечното дете проявява срамежливост или нервност при общуване с непознати""",,0 to 2,both,Knowledge and awareness,,yes,,"-A. If the 12-months-old cannot sit up on her own
-B. If the 12-months-old cannot always understand instructions or orders
-C. If the 12-months-old show signs of being upset when separated from parents
-D. If the 12-months-old cannot pick up very small objects
-E. If the 12-months-old shows shyness or nervousness when communicating with strangers"
concern_3yo,multiple_choice,Which of these is a sign of concern for the development of a 3-year-old child?,"-A. If the 3-year-old child cannot recognize 10 letters of the alphabet
-B. If the 3-year-old child is becoming more independent
-C. If the 3-year-old child does not play side by side with other children
-D. If the 3-year-old child cannot draw an accurate image of human body
-E. If the 3-year-old child likes to play ""pretend"" games",,,both,both,Knowledge and awareness,,yes,,
concern_5yo,multiple_choice,Which of these is a sign of concern for the development of a 5-year-old child?,"-A. If the 5-year-old child cannot write properly
-B. If the 5-year-old child cannot recognize all alphabet letters and does not have reading skills
-C. If the 5-year-old child sometimes makes up his/her own rules for games
-D. If the 5-year-old child cannot count to ten
-E. If the 5-year-old child shows signs of taking responsibility","""А. Ако 5-годишното дете не може да пише правилно
Б. Ако 5-годишното дете не може да разпознае всички букви от азбуката и няма умения за четене
В. Ако 5-годишното дете понякога измисля свои собствени правила за игри
Г. Ако 5-годишното дете не може да брои до десет
Д. Ако 5-годишното дете показва признаци на поемане на отговорност""",,3 to 6,both,Knowledge and awareness,,yes,,"-A. If the 5-year-old child cannot write properly
-B. If the 5-year-old child cannot recognize all alphabet letters and does not have reading skills
-C. If the 5-year-old child sometimes makes up his/her own rules for games
-D. If the 5-year-old child cannot count to ten
-E. If the 5-year-old child shows signs of taking responsibility"
statement_3,statement,"Keep going! You are halfway through the survey.

Are the following statements true or wrong?",,,,both,both,,,,,
sit_support,multiple_choice,Most 4-months old children can sit with some support.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
meaning_of_no,multiple_choice,Most children will understand the meaning of the word 'No' by the time they are three months old.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
movement,multiple_choice,Most 9-month olds try to stand up.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
scribble,multiple_choice,"Most 12-month-olds can stand, move and walk independently.","-A. True
-B. Wrong","Повечето деца на 12-месечна възраст могат да се изправят, движат и ходят самостоятелно.",,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
cry_separated,multiple_choice,Most 12-month-olds cry when separated from parents.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
express_feelings,multiple_choice,Most 2-year-olds can express their feelings.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
say_name_age,multiple_choice,Most 2-year-olds can climb up and down the stairs on their own.,"-A. True
-B. Wrong",Повечето 2-годишни деца могат да се изкачват нагоре и да слизат надолу по стълби самостоятелно.,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
sort_pair,multiple_choice,Most 2-year-olds start to sort and pair things.,"-A. True
-B. Wrong",,,0 to 2,both,Knowledge and awareness,Child development knowledge,yes,,
simple_songs,multiple_choice,Most 3-year-olds can sing parts of simple songs and nursery rhymes.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
count_to_ten,multiple_choice,Most 3-year-olds can count to ten and name ten objects without mistakes.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
name_colors,multiple_choice,Most 5-year-olds can name at least four colors correctly.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
alphabet,multiple_choice,Most 5-year-olds recognize the letters of the alphabet and have some reading skills.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
tell_story,multiple_choice,Most 5-year-olds can tell a story or retell part of a story.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
know_name_age,multiple_choice,"Most 6-year-olds know their own name and surname, age and home address.","-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
multiplication,multiple_choice,Most 6-year-olds know multiplication tables.,"-A. True
-B. Wrong",,,3 to 6,both,Knowledge and awareness,Child development knowledge,yes,,
statement_4,statement,"Now, we'd like to ask you about your parenting practices.",,,,both,both,,,,,
breastfed,multiple_choice,Has {{field:child_name}} been breastfed in the last 24 hours?,"Yes
No",,,0 to 2,both,Practices,Nutrition,yes,,
