form_wave,form_language,answer_time_min,creative,answer_time_median,answer_time_90,survey_duration,survey_created,survey_start_time,surveyid,userid,form_lang,answer_time_75,version,survey_name,shortcode,survey_end_time,seed,alphabet,articles,breastfed,child_0-6,child_age,child_name,children_registered,concern_12mo,concern_3yo,concern_5yo,confidence_deal_emotions,confidence_respond_misbehave,consent,control_bebbo_knowledge,control_bebbo_usage,count_to_ten,cry_separated,decrease_stress,default_tys,download_confirm_control,download_confirm_treatment,education,express_feelings,followup_permission,games,healthy_food_groups,hello_again,how_long_use,how_often_use,improve_family,intro_1,intro_1b_control,intro_1b_treatment,intro_3,joke_with_child,know_cog_dev,know_lang_dev,know_name_age,know_phys_dev,know_social_emotional_dev,know_when_vaccine,know_which_vaccine,language,laugh_together,location,lose_patience_punish,make_fun_of,meaning_of_no,movement,multiplication,name_colors,number_children,other_features,parent_age,parent_gender,parenting_stress_1,parenting_stress_2,past_24h_draw,past_24h_outside,past_24h_play,past_24h_read,past_24h_sing,past_24h_stories,payment_processing,personal_needs,physical_punishment,play_on_floor,relationship_to_child,say_name_age,scribble,simple_songs,sit_support,smile_around_child,snap_at_child,sort_pair,tell_story,thankyou_1,thankyou_early,thankyou_optout,thankyou_you_qualify,threaten,track_checkups,track_dev,track_growth,track_vax,using_bebbo
0,bulgarian,6.761,Ad1_Bebbo_Recruitment,14.252,30.116,1026.565,2023-04-10 16:21:41.757+00:00,2023-05-15 15:44:52.400000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10000108173339911,,18.759,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-15 16:01:58.965000+00:00,2196398086,True,,,"Yes, 1",4 to 6 years,Емилиан,,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child sometimes makes up his/her own rules for games,Confident,Confident,Yes,,,True,,No,,Yes,,University,,OK,,,,,,No,OK,OK,,OK,Disagree,True,True,True,True,True,,,Bulgarian,Disagree,Large regional centers,Agree,Agree,,,Wrong,True,1,,40,Woman,Rarely,Most of the times,No,Yes,Yes,No,No,No,,Almost always,Do not agree,Disagree,Mother,,,True,,Strongly disagree,Disagree,,True,,,,OK,Disagree,,,,,
0,bulgarian,7.241,Ad2_Bebbo_Recruitment,11.403,17.6236,112.584,2023-04-10 16:21:41.757+00:00,2023-05-11 23:45:50.966000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10000293466651246,,17.076,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-11 23:47:43.550000+00:00,568711756,,,,No,,,,,,,,,Yes,,,,,,,,,University,,,,,,,,,OK,OK,,OK,,,,,,,,,,,Capital,,,,,,,2,,26,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,6.536,Ad2_Bebbo_Recruitment,13.007,21.1222,42.694,2023-04-10 16:21:41.757+00:00,2023-05-10 10:02:00.278000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10002342369779543,,18.079,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-10 10:02:42.972000+00:00,2659834685,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,OK,,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.68,Ad2_Bebbo_Recruitment,11.1905,26.1415,796.161,2023-05-25 17:11:17.651+00:00,2023-06-13 16:38:23.854000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10003592226321318,,16.656750000000002,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-06-13 16:51:40.015000+00:00,3538930676,,,No,"Yes, 1",0 to 6 months,Александър,,If the 12-months-old cannot pick up very small objects,If the 3-year-old child does not play side by side with other children,,Confident,Confident,Yes,,,,True,No,,Yes,,Secondary,True,OK,,Four,,,,No,OK,OK,,OK,Strongly disagree,True,True,,True,True,True,True,Bulgarian,Disagree,Smaller cities,Agree,Strongly agree,True,True,,,1,,34,Man,Rarely,Most of the times,Yes,Yes,Yes,Yes,Yes,No,,Most of the times,Do not agree at all,Disagree,Mother,Wrong,True,,True,Strongly disagree,Disagree,Wrong,,,,,OK,Disagree,,,,,
0,bulgarian,5.547,Ad2_Bebbo_Recruitment,8.298,15.147200000000002,89.637,2023-05-25 17:11:17.651+00:00,2023-08-02 13:16:58.238000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10014833421861799,,10.194,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-08-02 13:18:27.875000+00:00,349964939,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,,OK,OK,,,,,,,,,,,Large regional centers,,,,,,,3,,40,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.919,Ad2_Bebbo_Recruitment,10.659,24.997,686.204,2023-03-27 00:48:40.598+00:00,2023-04-02 13:54:03.585000+00:00,ba7aee21-e433-4cb8-abb5-afbc4f457fb4,10015697538456066,,14.73,1,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-02 14:05:29.789000+00:00,2581435326,Wrong,,,"Yes, 1",4 to 6 years,Биляна,,,If the 3-year-old child does not play side by side with other children,If the 5-year-old child cannot count to ten,Confident,Confident,Yes,,,Wrong,,No,,Yes,,Secondary,,OK,,,,,,No,OK,OK,,OK,Strongly disagree,Not sure,True,True,True,Not sure,,,Bulgarian,Strongly disagree,Village,Agree,Agree,,,Wrong,True,1,,31,Woman,Rarely,Most of the times,Yes,Yes,Yes,No,Yes,Yes,,Most of the times,Do not agree at all,Strongly disagree,Mother,,,True,,Strongly disagree,Strongly disagree,,True,,,,OK,Agree,,,,,
,,7.771,Ad2_Bebbo_Recruitment,11.353,14.370299999999999,45.033,2023-05-05 17:51:30.601+00:00,2023-05-08 05:27:16.116000+00:00,bbc79f12-bf6c-4348-844d-f56fc5797851,10015697538456066,,14.09175,6,UNICEF Bebbo Bulgaria v2,bebbobgendeng,2023-05-08 05:28:01.149000+00:00,2581435326,,,,,4 to 6 years,Биляна,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mother,,,,,,,,,,,,,,,,,,Yes
0,bulgarian,6.799,Ad2_Bebbo_Recruitment,13.19,26.032400000000003,148.051,2023-04-10 16:21:41.757+00:00,2023-04-24 22:05:21.409000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10017112518314221,,20.954,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-24 22:07:49.460000+00:00,4117003650,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,OK,,OK,,,,,,,,,,,Large regional centers,,,,,,,1,,20,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.287,Ad2_Bebbo_Recruitment,7.3595,20.230500000000003,45.461,2023-04-10 16:21:41.757+00:00,2023-05-16 06:24:41.457000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10024018000957523,,12.393749999999999,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-16 06:25:26.918000+00:00,1922467566,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,OK,OK,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ще участвам,,,,,,,
0,bulgarian,,Ad1_Bebbo_Recruitment,,,0.0,2023-04-10 16:21:41.757+00:00,2023-04-10 23:30:24.926000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10025549080804490,,,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-10 23:30:24.926000+00:00,1832963882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
